DISTRITO,mean
CAPAZO,-2.6936471462249756
SANTA ROSA,-2.064330577850342
PARATIA,-1.9774647951126099
CANDARAVE,-1.7899912595748901
SAN ANTONIO DE CHUCA,-1.69972825050354
SAN JUAN DE TARUCANI,-1.6355507373809814
CONDOROMA,-1.5008773803710938
OCUVIRI,-1.495248794555664
CORANI,-1.4269213676452637
PISACOMA,-1.410330057144165
TARATA,-1.398042917251587
CARUMAS,-1.2426073551177979
PICHACANI,-1.1931551694869995
SUSAPAYA,-1.158953070640564
AJOYANI,-1.1473960876464844
